地區,綜合所得總額-平均數(萬元)
苗栗縣泰安鄉,53.0
臺東縣成功鎮,52.8
屏東縣枋寮鄉,52.7
屏東縣崁頂鄉,52.7
彰化縣芬園鄉,52.7
新北市貢寮區,52.7
新北市金山區,52.7
臺南市山上區,52.7
屏東縣鹽埔鄉,52.6
臺南市南化區,52.5
臺東縣卑南鄉,52.3
屏東縣泰武鄉,52.3
南投縣名間鄉,52.3
嘉義縣東石鄉,52.2
南投縣信義鄉,52.2
屏東縣枋山鄉,52.1
臺南市楠西區,52.1
屏東縣春日鄉,52.0
彰化縣芳苑鄉,52.0
嘉義縣阿里山鄉,51.7
新北市平溪區,51.7
新北市萬里區,51.7
高雄市旗津區,51.7
高雄市茄萣區,51.7
高雄市彌陀區,51.7
屏東縣高樹鄉,51.5
屏東縣三地門鄉,51.4
屏東縣來義鄉,51.3
臺東縣海端鄉,51.2
臺東縣達仁鄉,51.0
高雄市田寮區,51.0
花蓮縣瑞穗鄉,50.9
屏東縣佳冬鄉,50.9
桃園市復興區,50.8
屏東縣新埤鄉,50.7
屏東縣獅子鄉,50.7
南投縣魚池鄉,50.7
新北市石門區,50.7
雲林縣林內鄉,50.6
南投縣仁愛鄉,50.6
新竹縣尖石鄉,50.5
宜蘭縣大同鄉,50.5
新北市瑞芳區,50.5
花蓮縣鳳林鎮,50.4
屏東縣霧臺鄉,50.4
臺東縣大武鄉,50.3
臺東縣延平鄉,50.0
南投縣中寮鄉,50.0
高雄市六龜區,50.0
臺南市大內區,49.9
新北市三芝區,49.5
南投縣國姓鄉,49.4
臺東縣太麻里鄉,49.3
花蓮縣光復鄉,49.2
宜蘭縣南澳鄉,49.2
臺東縣東河鄉,49.1
臺東縣金峰鄉,49.0
臺東縣長濱鄉,48.8
臺南市左鎮區,48.6
高雄市內門區,48.3
屏東縣滿州鄉,48.0
花蓮縣富里鄉,47.9
高雄市杉林區,47.9
高雄市甲仙區,47.9
屏東縣車城鄉,47.6
新竹縣五峰鄉,47.3
花蓮縣秀林鄉,47.1
花蓮縣卓溪鄉,44.5
花蓮縣萬榮鄉,43.4
花蓮縣豐濱鄉,41.5
