地區,申報戶數(戶)
南投縣信義鄉,"1,991"
高雄市內門區,"1,989"
臺東縣成功鎮,"1,959"
南投縣仁愛鄉,"1,936"
花蓮縣瑞穗鄉,"1,797"
新北市雙溪區,"1,796"
嘉義縣番路鄉,"1,779"
屏東縣琉球鄉,"1,749"
苗栗縣南庄鄉,"1,747"
桃園市復興區,"1,732"
新北市石碇區,"1,695"
臺南市北門區,"1,693"
臺南市大內區,"1,686"
臺中市和平區,"1,638"
苗栗縣西湖鄉,"1,623"
臺南市山上區,"1,607"
臺東縣太麻里鄉,"1,543"
臺東縣關山鎮,"1,526"
澎湖縣西嶼鄉,"1,520"
苗栗縣三灣鄉,"1,514"
花蓮縣富里鄉,"1,484"
高雄市杉林區,"1,477"
屏東縣新埤鄉,"1,465"
高雄市六龜區,"1,463"
新北市坪林區,"1,434"
新北市烏來區,"1,361"
臺南市楠西區,"1,346"
臺南市南化區,"1,328"
新竹縣峨眉鄉,"1,279"
臺東縣池上鄉,"1,254"
屏東縣車城鄉,"1,239"
澎湖縣望安鄉,"1,200"
高雄市田寮區,"1,156"
新竹縣尖石鄉,"1,130"
花蓮縣萬榮鄉,"1,116"
臺東縣鹿野鄉,"1,115"
屏東縣滿州鄉,"1,097"
屏東縣來義鄉,"1,089"
屏東縣瑪家鄉,"1,067"
臺東縣東河鄉,"1,065"
屏東縣三地門鄉,"1,044"
連江縣北竿鄉,"1,000"
花蓮縣卓溪鄉,982
宜蘭縣南澳鄉,974
臺東縣長濱鄉,927
臺東縣綠島鄉,925
新北市平溪區,848
臺東縣大武鄉,833
臺東縣蘭嶼鄉,826
澎湖縣七美鄉,793
屏東縣牡丹鄉,791
苗栗縣獅潭鄉,785
苗栗縣泰安鄉,785
高雄市甲仙區,775
宜蘭縣大同鄉,754
嘉義縣大埔鄉,731
屏東縣泰武鄉,723
屏東縣獅子鄉,682
臺南市左鎮區,664
臺東縣海端鄉,652
花蓮縣豐濱鄉,630
嘉義縣阿里山鄉,629
屏東縣枋山鄉,617
臺南市龍崎區,617
連江縣東引鄉,615
臺東縣延平鄉,614
臺東縣金峰鄉,612
屏東縣春日鄉,601
屏東縣霧臺鄉,576
新竹縣五峰鄉,565
高雄市桃源區,564
連江縣莒光鄉,531
臺東縣達仁鄉,529
高雄市那瑪夏區,399
高雄市茂林區,315
金門縣烏坵鄉,214
