地區,申報戶數(戶)
臺東縣池上鄉,"1,284"
高雄市田寮區,"1,283"
臺中市和平區,"1,275"
屏東縣車城鄉,"1,268"
桃園市復興區,"1,260"
臺東縣太麻里鄉,"1,226"
新竹縣峨眉鄉,"1,221"
澎湖縣白沙鄉,"1,218"
臺東縣長濱鄉,"1,213"
臺南市南化區,"1,198"
臺東縣東河鄉,"1,173"
新北市烏來區,"1,151"
新北市平溪區,"1,136"
花蓮縣萬榮鄉,"1,125"
屏東縣來義鄉,"1,125"
澎湖縣西嶼鄉,"1,089"
臺東縣鹿野鄉,"1,035"
屏東縣滿州鄉,"1,027"
高雄市甲仙區,959
新竹縣尖石鄉,915
臺東縣大武鄉,875
花蓮縣卓溪鄉,853
苗栗縣獅潭鄉,842
宜蘭縣南澳鄉,826
屏東縣瑪家鄉,811
花蓮縣豐濱鄉,752
臺南市左鎮區,732
臺南市龍崎區,720
澎湖縣望安鄉,685
屏東縣三地門鄉,657
嘉義縣大埔鄉,636
臺東縣綠島鄉,628
苗栗縣泰安鄉,611
嘉義縣阿里山鄉,607
屏東縣枋山鄉,600
屏東縣牡丹鄉,589
宜蘭縣大同鄉,578
臺東縣海端鄉,571
澎湖縣七美鄉,556
新竹縣五峰鄉,548
臺東縣延平鄉,507
高雄市桃源區,502
屏東縣泰武鄉,487
屏東縣獅子鄉,478
臺東縣蘭嶼鄉,477
臺東縣達仁鄉,453
屏東縣春日鄉,450
連江縣北竿鄉,407
屏東縣霧臺鄉,407
連江縣莒光鄉,308
高雄市那瑪夏區,306
臺東縣金峰鄉,302
連江縣東引鄉,256
高雄市茂林區,251
金門縣烏坵鄉,130
